GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population for whom poverty status is determined
HC01_MOE_VC01,Total; Margin of Error; Population for whom poverty status is determined
HC02_EST_VC01,Below poverty level; Estimate; Population for whom poverty status is determined
HC02_MOE_VC01,Below poverty level; Margin of Error; Population for whom poverty status is determined
HC03_EST_VC01,Percent below poverty level; Estimate; Population for whom poverty status is determined
HC03_MOE_VC01,Percent below poverty level; Margin of Error; Population for whom poverty status is determined
HC01_EST_VC03,Total; Estimate; AGE - Under 18 years
HC01_MOE_VC03,Total; Margin of Error; AGE - Under 18 years
HC02_EST_VC03,Below poverty level; Estimate; AGE - Under 18 years
HC02_MOE_VC03,Below poverty level; Margin of Error; AGE - Under 18 years
HC03_EST_VC03,Percent below poverty level; Estimate; AGE - Under 18 years
HC03_MOE_VC03,Percent below poverty level; Margin of Error; AGE - Under 18 years
HC01_EST_VC04,Total; Estimate; AGE - Under 18 years - Under 5 years
HC01_MOE_VC04,Total; Margin of Error; AGE - Under 18 years - Under 5 years
HC02_EST_VC04,Below poverty level; Estimate; AGE - Under 18 years - Under 5 years
HC02_MOE_VC04,Below poverty level; Margin of Error; AGE - Under 18 years - Under 5 years
HC03_EST_VC04,Percent below poverty level; Estimate; AGE - Under 18 years - Under 5 years
HC03_MOE_VC04,Percent below poverty level; Margin of Error; AGE - Under 18 years - Under 5 years
HC01_EST_VC05,Total; Estimate; AGE - Under 18 years - 5 to 17 years
HC01_MOE_VC05,Total; Margin of Error; AGE - Under 18 years - 5 to 17 years
HC02_EST_VC05,Below poverty level; Estimate; AGE - Under 18 years - 5 to 17 years
HC02_MOE_VC05,Below poverty level; Margin of Error; AGE - Under 18 years - 5 to 17 years
HC03_EST_VC05,Percent below poverty level; Estimate; AGE - Under 18 years - 5 to 17 years
HC03_MOE_VC05,Percent below poverty level; Margin of Error; AGE - Under 18 years - 5 to 17 years
HC01_EST_VC06,Total; Estimate; AGE - Under 18 years - Related children of householder under 18 years
HC01_MOE_VC06,Total; Margin of Error; AGE - Under 18 years - Related children of householder under 18 years
HC02_EST_VC06,Below poverty level; Estimate; AGE - Under 18 years - Related children of householder under 18 years
HC02_MOE_VC06,Below poverty level; Margin of Error; AGE - Under 18 years - Related children of householder under 18 years
HC03_EST_VC06,Percent below poverty level; Estimate; AGE - Under 18 years - Related children of householder under 18 years
HC03_MOE_VC06,Percent below poverty level; Margin of Error; AGE - Under 18 years - Related children of householder under 18 years
HC01_EST_VC07,Total; Estimate; AGE - 18 to 64 years
HC01_MOE_VC07,Total; Margin of Error; AGE - 18 to 64 years
HC02_EST_VC07,Below poverty level; Estimate; AGE - 18 to 64 years
HC02_MOE_VC07,Below poverty level; Margin of Error; AGE - 18 to 64 years
HC03_EST_VC07,Percent below poverty level; Estimate; AGE - 18 to 64 years
HC03_MOE_VC07,Percent below poverty level; Margin of Error; AGE - 18 to 64 years
HC01_EST_VC08,Total; Estimate; AGE - 18 to 64 years - 18 to 34 years
HC01_MOE_VC08,Total; Margin of Error; AGE - 18 to 64 years - 18 to 34 years
HC02_EST_VC08,Below poverty level; Estimate; AGE - 18 to 64 years - 18 to 34 years
HC02_MOE_VC08,Below poverty level; Margin of Error; AGE - 18 to 64 years - 18 to 34 years
HC03_EST_VC08,Percent below poverty level; Estimate; AGE - 18 to 64 years - 18 to 34 years
HC03_MOE_VC08,Percent below poverty level; Margin of Error; AGE - 18 to 64 years - 18 to 34 years
